




Analysis Type:	PANTHER Overrepresentation Test (Released 20221013)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6799722 Released 2022-07-01
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20589)	upload_1 (702)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
antigen processing and presentation of endogenous peptide antigen via MHC class I (GO:0019885)	17	9	.58	+	15.53	8.27E-08	8.70E-06
glutamine transport (GO:0006868)	8	4	.27	+	14.66	4.69E-04	1.52E-02
spindle elongation (GO:0051231)	13	6	.44	+	13.54	2.36E-05	1.21E-03
antigen processing and presentation of endogenous antigen (GO:0019883)	26	12	.89	+	13.54	1.85E-09	2.91E-07
mitotic spindle midzone assembly (GO:0051256)	11	5	.38	+	13.33	1.24E-04	4.96E-03
mitotic spindle elongation (GO:0000022)	11	5	.38	+	13.33	1.24E-04	4.95E-03
protein folding in endoplasmic reticulum (GO:0034975)	11	5	.38	+	13.33	1.24E-04	4.93E-03
ribosomal small subunit assembly (GO:0000028)	20	9	.68	+	13.20	2.42E-07	2.18E-05
meiotic spindle assembly (GO:0090306)	9	4	.31	+	13.04	6.60E-04	2.01E-02
L-serine transport (GO:0015825)	9	4	.31	+	13.04	6.60E-04	2.01E-02
regulation of natural killer cell cytokine production (GO:0002727)	9	4	.31	+	13.04	6.60E-04	2.01E-02
regulation of ubiquitin protein ligase activity (GO:1904666)	26	11	.89	+	12.41	1.81E-08	2.20E-06
positive regulation of mitotic cell cycle spindle assembly checkpoint (GO:0090267)	12	5	.41	+	12.22	1.71E-04	6.49E-03
positive regulation of spindle checkpoint (GO:0090232)	12	5	.41	+	12.22	1.71E-04	6.47E-03
antigen processing and presentation of peptide antigen via MHC class I (GO:0002474)	30	12	1.02	+	11.73	6.71E-09	9.74E-07
regulation of mitotic cytokinesis (GO:1902412)	10	4	.34	+	11.73	9.01E-04	2.61E-02
positive regulation by host of viral genome replication (GO:0044829)	10	4	.34	+	11.73	9.01E-04	2.61E-02
kinetochore organization (GO:0051383)	20	8	.68	+	11.73	2.32E-06	1.57E-04
regulation of deoxyribonuclease activity (GO:0032070)	10	4	.34	+	11.73	9.01E-04	2.60E-02
regulation of attachment of spindle microtubules to kinetochore (GO:0051988)	18	7	.61	+	11.41	1.18E-05	6.61E-04
antigen processing and presentation of exogenous peptide antigen (GO:0002478)	40	15	1.36	+	11.00	1.78E-10	3.63E-08
positive regulation of attachment of spindle microtubules to kinetochore (GO:0051987)	11	4	.38	+	10.67	1.20E-03	3.23E-02
positive regulation of ubiquitin protein ligase activity (GO:1904668)	11	4	.38	+	10.67	1.20E-03	3.22E-02
spindle midzone assembly (GO:0051255)	14	5	.48	+	10.47	3.04E-04	1.05E-02
antigen processing and presentation of peptide antigen (GO:0048002)	62	22	2.11	+	10.41	2.48E-14	9.99E-12
negative regulation of ubiquitin-protein transferase activity (GO:0051444)	23	8	.78	+	10.20	5.40E-06	3.31E-04
ribosomal large subunit assembly (GO:0000027)	26	9	.89	+	10.15	1.43E-06	1.04E-04
serine transport (GO:0032329)	12	4	.41	+	9.78	1.55E-03	4.03E-02
double-strand break repair via break-induced replication (GO:0000727)	12	4	.41	+	9.78	1.55E-03	4.03E-02
kinetochore assembly (GO:0051382)	15	5	.51	+	9.78	3.94E-04	1.30E-02
antigen processing and presentation of exogenous peptide antigen via MHC class II (GO:0019886)	30	10	1.02	+	9.78	4.93E-07	4.09E-05
antigen processing and presentation of peptide or polysaccharide antigen via MHC class II (GO:0002504)	34	11	1.16	+	9.49	1.69E-07	1.59E-05
regulation of monocyte differentiation (GO:0045655)	19	6	.65	+	9.26	1.30E-04	5.14E-03
antigen processing and presentation of peptide antigen via MHC class II (GO:0002495)	32	10	1.09	+	9.17	8.06E-07	6.26E-05
negative regulation of endoplasmic reticulum unfolded protein response (GO:1900102)	16	5	.55	+	9.17	5.04E-04	1.61E-02
female meiosis I (GO:0007144)	13	4	.44	+	9.02	1.98E-03	4.95E-02
regulation of metaphase plate congression (GO:0090235)	13	4	.44	+	9.02	1.98E-03	4.94E-02
attachment of mitotic spindle microtubules to kinetochore (GO:0051315)	13	4	.44	+	9.02	1.98E-03	4.93E-02
ribosome assembly (GO:0042255)	62	19	2.11	+	8.99	1.23E-11	3.10E-09
antigen processing and presentation of exogenous antigen (GO:0019884)	49	15	1.67	+	8.98	1.81E-09	2.87E-07
negative regulation of mitotic sister chromatid separation (GO:2000816)	36	11	1.23	+	8.96	2.73E-07	2.43E-05
negative regulation of mitotic sister chromatid segregation (GO:0033048)	36	11	1.23	+	8.96	2.73E-07	2.42E-05
negative regulation of sister chromatid segregation (GO:0033046)	36	11	1.23	+	8.96	2.73E-07	2.41E-05
negative regulation of mitotic metaphase/anaphase transition (GO:0045841)	33	10	1.13	+	8.89	1.02E-06	7.62E-05
cellular response to interleukin-4 (GO:0071353)	30	9	1.02	+	8.80	3.82E-06	2.49E-04
mitotic chromosome condensation (GO:0007076)	17	5	.58	+	8.63	6.34E-04	1.96E-02
retrograde protein transport, ER to cytosol (GO:0030970)	17	5	.58	+	8.63	6.34E-04	1.95E-02
endoplasmic reticulum to cytosol transport (GO:1903513)	17	5	.58	+	8.63	6.34E-04	1.95E-02
mitotic spindle assembly checkpoint signaling (GO:0007094)	31	9	1.06	+	8.51	4.78E-06	2.99E-04
mitotic spindle checkpoint signaling (GO:0071174)	31	9	1.06	+	8.51	4.78E-06	2.98E-04
spindle assembly checkpoint signaling (GO:0071173)	31	9	1.06	+	8.51	4.78E-06	2.96E-04
negative regulation of chromosome segregation (GO:0051985)	38	11	1.30	+	8.49	4.30E-07	3.65E-05
negative regulation of chromosome separation (GO:1905819)	38	11	1.30	+	8.49	4.30E-07	3.63E-05
regulation of mitotic cell cycle spindle assembly checkpoint (GO:0090266)	21	6	.72	+	8.38	2.06E-04	7.66E-03
regulation of spindle checkpoint (GO:0090231)	21	6	.72	+	8.38	2.06E-04	7.65E-03
regulation of mitotic spindle checkpoint (GO:1903504)	21	6	.72	+	8.38	2.06E-04	7.63E-03
negative regulation of metaphase/anaphase transition of cell cycle (GO:1902100)	35	10	1.19	+	8.38	1.60E-06	1.14E-04
spindle checkpoint signaling (GO:0031577)	32	9	1.09	+	8.25	5.95E-06	3.60E-04
positive regulation of signal transduction by p53 class mediator (GO:1901798)	29	8	.99	+	8.09	2.22E-05	1.15E-03
mitochondrial electron transport, cytochrome c to oxygen (GO:0006123)	22	6	.75	+	8.00	2.55E-04	9.14E-03
regulation of nuclease activity (GO:0032069)	22	6	.75	+	8.00	2.55E-04	9.12E-03
centrosome localization (GO:0051642)	33	9	1.13	+	8.00	7.35E-06	4.34E-04
response to interleukin-4 (GO:0070670)	33	9	1.13	+	8.00	7.35E-06	4.32E-04
microtubule organizing center localization (GO:0061842)	34	9	1.16	+	7.76	9.03E-06	5.17E-04
regulation of CD8-positive, alpha-beta T cell activation (GO:2001185)	19	5	.65	+	7.72	9.69E-04	2.76E-02
positive regulation of cell cycle checkpoint (GO:1901978)	19	5	.65	+	7.72	9.69E-04	2.76E-02
centromere complex assembly (GO:0034508)	27	7	.92	+	7.60	1.02E-04	4.21E-03
hematopoietic stem cell differentiation (GO:0060218)	20	5	.68	+	7.33	1.18E-03	3.21E-02
regulation of mitotic sister chromatid segregation (GO:0033047)	56	14	1.91	+	7.33	5.52E-08	6.23E-06
positive regulation of transcription from RNA polymerase II promoter in response to stress (GO:0036003)	20	5	.68	+	7.33	1.18E-03	3.20E-02
antigen processing and presentation (GO:0019882)	96	24	3.27	+	7.33	1.02E-12	3.73E-10
negative regulation of natural killer cell mediated immunity (GO:0002716)	20	5	.68	+	7.33	1.18E-03	3.20E-02
translation (GO:0006412)	379	93	12.92	+	7.20	1.28E-45	1.01E-41
positive regulation of cytokinesis (GO:0032467)	45	11	1.53	+	7.17	1.78E-06	1.25E-04
negative regulation of mitotic nuclear division (GO:0045839)	41	10	1.40	+	7.15	5.36E-06	3.29E-04
myeloid dendritic cell activation (GO:0001773)	25	6	.85	+	7.04	4.58E-04	1.48E-02
immunoglobulin production involved in immunoglobulin-mediated immune response (GO:0002381)	46	11	1.57	+	7.01	2.14E-06	1.48E-04
positive regulation by host of viral process (GO:0044794)	21	5	.72	+	6.98	1.42E-03	3.74E-02
ribosomal large subunit biogenesis (GO:0042273)	76	18	2.59	+	6.95	1.48E-09	2.41E-07
peptide biosynthetic process (GO:0043043)	408	95	13.91	+	6.83	6.19E-45	3.24E-41
positive regulation of chromosome segregation (GO:0051984)	26	6	.89	+	6.77	5.48E-04	1.74E-02
DNA unwinding involved in DNA replication (GO:0006268)	22	5	.75	+	6.67	1.70E-03	4.35E-02
mitotic spindle organization (GO:0007052)	97	22	3.31	+	6.65	4.62E-11	1.02E-08
positive regulation of T cell mediated cytotoxicity (GO:0001916)	31	7	1.06	+	6.62	2.13E-04	7.85E-03
regulation of intrinsic apoptotic signaling pathway by p53 class mediator (GO:1902253)	32	7	1.09	+	6.42	2.52E-04	9.08E-03
ribosomal small subunit biogenesis (GO:0042274)	79	17	2.69	+	6.31	1.46E-08	1.84E-06
positive regulation of chromosome separation (GO:1905820)	28	6	.95	+	6.28	7.68E-04	2.27E-02
tumor necrosis factor-mediated signaling pathway (GO:0033209)	57	12	1.94	+	6.17	2.37E-06	1.59E-04
regulation of ubiquitin-protein transferase activity (GO:0051438)	57	12	1.94	+	6.17	2.37E-06	1.59E-04
negative regulation of nuclear division (GO:0051784)	48	10	1.64	+	6.11	1.78E-05	9.38E-04
mitotic sister chromatid segregation (GO:0000070)	120	25	4.09	+	6.11	1.10E-11	2.83E-09
female meiotic nuclear division (GO:0007143)	34	7	1.16	+	6.04	3.48E-04	1.17E-02
inflammatory response to antigenic stimulus (GO:0002437)	39	8	1.33	+	6.02	1.35E-04	5.30E-03
proton motive force-driven mitochondrial ATP synthesis (GO:0042776)	64	13	2.18	+	5.96	1.28E-06	9.44E-05
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	129	26	4.40	+	5.91	8.15E-12	2.24E-09
liver regeneration (GO:0097421)	30	6	1.02	+	5.87	1.05E-03	2.96E-02
establishment of chromosome localization (GO:0051303)	76	15	2.59	+	5.79	2.73E-07	2.39E-05
mitotic metaphase plate congression (GO:0007080)	51	10	1.74	+	5.75	2.81E-05	1.42E-03
mitotic spindle assembly (GO:0090307)	51	10	1.74	+	5.75	2.81E-05	1.41E-03
regulation of endoplasmic reticulum unfolded protein response (GO:1900101)	31	6	1.06	+	5.68	1.22E-03	3.26E-02
amide biosynthetic process (GO:0043604)	527	102	17.97	+	5.68	5.38E-42	1.69E-38
chromosome localization (GO:0050000)	83	16	2.83	+	5.65	1.46E-07	1.40E-05
peptide metabolic process (GO:0006518)	537	103	18.31	+	5.63	4.18E-42	1.64E-38
proton motive force-driven ATP synthesis (GO:0015986)	73	14	2.49	+	5.62	9.22E-07	6.98E-05
mitotic nuclear division (GO:0140014)	173	33	5.90	+	5.59	4.85E-14	1.86E-11
metaphase plate congression (GO:0051310)	63	12	2.15	+	5.59	5.86E-06	3.56E-04
sister chromatid segregation (GO:0000819)	148	28	5.05	+	5.55	4.84E-12	1.49E-09
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	91	17	3.10	+	5.48	8.90E-08	9.18E-06
ATP synthesis coupled electron transport (GO:0042773)	91	17	3.10	+	5.48	8.90E-08	9.12E-06
aerobic electron transport chain (GO:0019646)	86	16	2.93	+	5.46	2.23E-07	2.05E-05
mitotic cytokinesis (GO:0000281)	81	15	2.76	+	5.43	5.60E-07	4.53E-05
regulation of mitotic metaphase/anaphase transition (GO:0030071)	92	17	3.14	+	5.42	1.02E-07	1.02E-05
regulation of mitotic sister chromatid separation (GO:0010965)	98	18	3.34	+	5.39	4.69E-08	5.36E-06
negative regulation of response to endoplasmic reticulum stress (GO:1903573)	44	8	1.50	+	5.33	2.80E-04	9.76E-03
ER-nucleus signaling pathway (GO:0006984)	33	6	1.13	+	5.33	1.62E-03	4.19E-02
natural killer cell mediated cytotoxicity (GO:0042267)	33	6	1.13	+	5.33	1.62E-03	4.18E-02
regulation of cytokinesis (GO:0032465)	94	17	3.21	+	5.30	1.34E-07	1.31E-05
regulation of chromosome separation (GO:1905818)	111	20	3.78	+	5.28	1.13E-08	1.50E-06
establishment of mitotic spindle localization (GO:0040001)	39	7	1.33	+	5.26	7.18E-04	2.16E-02
regulation of metaphase/anaphase transition of cell cycle (GO:1902099)	95	17	3.24	+	5.25	1.54E-07	1.46E-05
cell cycle G2/M phase transition (GO:0044839)	62	11	2.11	+	5.20	2.56E-05	1.31E-03
cytoplasmic translational initiation (GO:0002183)	34	6	1.16	+	5.18	1.86E-03	4.68E-02
establishment of mitotic spindle orientation (GO:0000132)	34	6	1.16	+	5.18	1.86E-03	4.68E-02
oxidative phosphorylation (GO:0006119)	119	21	4.06	+	5.18	6.72E-09	9.66E-07
regulation of chromosome segregation (GO:0051983)	131	23	4.47	+	5.15	1.41E-09	2.34E-07
spindle organization (GO:0007051)	160	28	5.46	+	5.13	2.46E-11	5.76E-09
mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	46	8	1.57	+	5.10	3.65E-04	1.22E-02
regulation of T cell mediated cytotoxicity (GO:0001914)	41	7	1.40	+	5.01	9.33E-04	2.69E-02
regulation of transcription from RNA polymerase II promoter in response to stress (GO:0043618)	41	7	1.40	+	5.01	9.33E-04	2.69E-02
positive regulation of leukocyte mediated cytotoxicity (GO:0001912)	59	10	2.01	+	4.97	8.36E-05	3.54E-03
regulation of mitotic nuclear division (GO:0007088)	118	20	4.02	+	4.97	2.79E-08	3.29E-06
regulation of sister chromatid segregation (GO:0033045)	107	18	3.65	+	4.93	1.52E-07	1.45E-05
spindle assembly (GO:0051225)	96	16	3.27	+	4.89	8.25E-07	6.34E-05
positive regulation of T cell mediated immunity (GO:0002711)	60	10	2.05	+	4.89	9.47E-05	3.97E-03
ATP biosynthetic process (GO:0006754)	85	14	2.90	+	4.83	4.50E-06	2.86E-04
animal organ regeneration (GO:0031100)	67	11	2.28	+	4.82	4.83E-05	2.20E-03
positive regulation of intrinsic apoptotic signaling pathway (GO:2001244)	61	10	2.08	+	4.81	1.07E-04	4.39E-03
positive regulation of lymphocyte migration (GO:2000403)	43	7	1.47	+	4.77	1.20E-03	3.22E-02
cellular response to epidermal growth factor stimulus (GO:0071364)	43	7	1.47	+	4.77	1.20E-03	3.21E-02
chromosome condensation (GO:0030261)	43	7	1.47	+	4.77	1.20E-03	3.21E-02
leukocyte cell-cell adhesion (GO:0007159)	56	9	1.91	+	4.71	2.68E-04	9.48E-03
regulation of natural killer cell mediated immunity (GO:0002715)	50	8	1.70	+	4.69	6.00E-04	1.87E-02
translational elongation (GO:0006414)	44	7	1.50	+	4.67	1.35E-03	3.58E-02
negative regulation of chromosome organization (GO:2001251)	82	13	2.80	+	4.65	1.41E-05	7.65E-04
positive regulation of mononuclear cell migration (GO:0071677)	76	12	2.59	+	4.63	3.12E-05	1.54E-03
purine ribonucleoside triphosphate biosynthetic process (GO:0009206)	96	15	3.27	+	4.58	3.68E-06	2.42E-04
G2/M transition of mitotic cell cycle (GO:0000086)	58	9	1.98	+	4.55	3.39E-04	1.15E-02
positive regulation of myeloid leukocyte differentiation (GO:0002763)	58	9	1.98	+	4.55	3.39E-04	1.15E-02
maintenance of location in cell (GO:0051651)	97	15	3.31	+	4.54	4.13E-06	2.65E-04
purine nucleoside triphosphate biosynthetic process (GO:0009145)	97	15	3.31	+	4.54	4.13E-06	2.64E-04
regulation of signal transduction by p53 class mediator (GO:1901796)	104	16	3.55	+	4.51	2.11E-06	1.46E-04
positive regulation of viral process (GO:0048524)	65	10	2.22	+	4.51	1.71E-04	6.50E-03
regulation of natural killer cell mediated cytotoxicity (GO:0042269)	46	7	1.57	+	4.46	1.70E-03	4.35E-02
positive regulation of cell killing (GO:0031343)	66	10	2.25	+	4.44	1.91E-04	7.18E-03
respiratory electron transport chain (GO:0022904)	113	17	3.85	+	4.41	1.34E-06	9.83E-05
spindle localization (GO:0051653)	60	9	2.05	+	4.40	4.23E-04	1.39E-02
regulation of neutrophil migration (GO:1902622)	47	7	1.60	+	4.37	1.89E-03	4.77E-02
response to epidermal growth factor (GO:0070849)	47	7	1.60	+	4.37	1.89E-03	4.76E-02
regulation of DNA-templated transcription in response to stress (GO:0043620)	47	7	1.60	+	4.37	1.89E-03	4.75E-02
non-membrane-bounded organelle assembly (GO:0140694)	316	47	10.77	+	4.36	1.03E-15	4.90E-13
positive regulation of fibroblast proliferation (GO:0048146)	54	8	1.84	+	4.35	9.43E-04	2.71E-02
positive regulation of T cell proliferation (GO:0042102)	108	16	3.68	+	4.35	3.26E-06	2.17E-04
cell cycle phase transition (GO:0044770)	183	27	6.24	+	4.33	1.63E-09	2.63E-07
ribonucleoside triphosphate biosynthetic process (GO:0009201)	102	15	3.48	+	4.31	7.13E-06	4.23E-04
establishment of spindle localization (GO:0051293)	55	8	1.88	+	4.27	1.05E-03	2.95E-02
regulation of nuclear division (GO:0051783)	145	21	4.94	+	4.25	1.39E-07	1.35E-05
negative regulation of protein ubiquitination (GO:0031397)	83	12	2.83	+	4.24	6.72E-05	2.92E-03
mitotic cell cycle phase transition (GO:0044772)	173	25	5.90	+	4.24	9.48E-09	1.30E-06
response to gamma radiation (GO:0010332)	56	8	1.91	+	4.19	1.16E-03	3.19E-02
negative regulation of lymphocyte mediated immunity (GO:0002707)	56	8	1.91	+	4.19	1.16E-03	3.19E-02
cell division (GO:0051301)	514	73	17.53	+	4.17	8.48E-23	1.11E-19
nucleoside triphosphate biosynthetic process (GO:0009142)	114	16	3.89	+	4.12	6.08E-06	3.67E-04
regulation of viral process (GO:0050792)	164	23	5.59	+	4.11	6.05E-08	6.59E-06
cellular amide metabolic process (GO:0043603)	802	112	27.34	+	4.10	2.57E-34	6.71E-31
viral entry into host cell (GO:0046718)	108	15	3.68	+	4.07	1.32E-05	7.31E-04
positive regulation of apoptotic signaling pathway (GO:2001235)	130	18	4.43	+	4.06	1.93E-06	1.34E-04
maintenance of protein location in cell (GO:0032507)	65	9	2.22	+	4.06	7.14E-04	2.15E-02
cellular macromolecule biosynthetic process (GO:0034645)	773	107	26.36	+	4.06	1.85E-32	4.15E-29
positive regulation of T cell activation (GO:0050870)	253	35	8.63	+	4.06	3.09E-11	7.13E-09
regulation of viral genome replication (GO:0045069)	87	12	2.97	+	4.05	1.01E-04	4.20E-03
positive regulation of leukocyte cell-cell adhesion (GO:1903039)	276	38	9.41	+	4.04	4.96E-12	1.47E-09
cytoskeleton-dependent cytokinesis (GO:0061640)	109	15	3.72	+	4.04	1.46E-05	7.85E-04
positive regulation of alpha-beta T cell activation (GO:0046635)	73	10	2.49	+	4.02	3.96E-04	1.31E-02
negative regulation of viral process (GO:0048525)	95	13	3.24	+	4.01	5.64E-05	2.53E-03
nuclear chromosome segregation (GO:0098813)	234	32	7.98	+	4.01	2.84E-10	5.29E-08
entry into host (GO:0044409)	110	15	3.75	+	4.00	1.60E-05	8.59E-04
ubiquitin-dependent ERAD pathway (GO:0030433)	81	11	2.76	+	3.98	2.20E-04	8.04E-03
positive regulation of lymphocyte mediated immunity (GO:0002708)	118	16	4.02	+	3.98	9.00E-06	5.17E-04
positive regulation of lymphocyte proliferation (GO:0050671)	148	20	5.05	+	3.96	7.40E-07	5.80E-05
cytokinesis (GO:0000910)	111	15	3.78	+	3.96	1.77E-05	9.36E-04
chromosome segregation (GO:0007059)	291	39	9.92	+	3.93	5.44E-12	1.55E-09
regulation of viral life cycle (GO:1903900)	142	19	4.84	+	3.92	1.59E-06	1.14E-04
positive regulation of adaptive immune response (GO:0002821)	120	16	4.09	+	3.91	1.09E-05	6.16E-04
positive regulation of mononuclear cell proliferation (GO:0032946)	151	20	5.15	+	3.88	9.82E-07	7.37E-05
negative regulation of leukocyte mediated immunity (GO:0002704)	68	9	2.32	+	3.88	9.55E-04	2.73E-02
aerobic respiration (GO:0009060)	159	21	5.42	+	3.87	5.51E-07	4.50E-05
positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002824)	114	15	3.89	+	3.86	2.35E-05	1.21E-03
mitotic cell cycle process (GO:1903047)	533	70	18.17	+	3.85	3.42E-20	2.82E-17
ERAD pathway (GO:0036503)	99	13	3.38	+	3.85	8.25E-05	3.52E-03
regulation of lymphocyte migration (GO:2000401)	69	9	2.35	+	3.83	1.05E-03	2.96E-02
nuclear division (GO:0000280)	323	42	11.01	+	3.81	1.99E-12	6.94E-10
translational initiation (GO:0006413)	70	9	2.39	+	3.77	1.15E-03	3.16E-02
regulation of CD4-positive, alpha-beta T cell activation (GO:2000514)	78	10	2.66	+	3.76	6.34E-04	1.96E-02
vascular transport (GO:0010232)	86	11	2.93	+	3.75	3.51E-04	1.18E-02
transport across blood-brain barrier (GO:0150104)	86	11	2.93	+	3.75	3.51E-04	1.18E-02
T cell receptor signaling pathway (GO:0050852)	110	14	3.75	+	3.73	6.04E-05	2.65E-03
negative regulation of protein modification by small protein conjugation or removal (GO:1903321)	95	12	3.24	+	3.70	2.13E-04	7.84E-03
positive regulation of leukocyte proliferation (GO:0070665)	168	21	5.73	+	3.67	1.24E-06	9.14E-05
cellular response to unfolded protein (GO:0034620)	80	10	2.73	+	3.67	7.58E-04	2.25E-02
regulation of cytokine production involved in immune response (GO:0002718)	120	15	4.09	+	3.67	4.02E-05	1.86E-03
positive regulation of leukocyte migration (GO:0002687)	152	19	5.18	+	3.67	3.94E-06	2.55E-04
proton transmembrane transport (GO:1902600)	137	17	4.67	+	3.64	1.37E-05	7.51E-04
regulation of T cell proliferation (GO:0042129)	186	23	6.34	+	3.63	4.61E-07	3.87E-05
cellular response to tumor necrosis factor (GO:0071356)	178	22	6.07	+	3.62	8.23E-07	6.35E-05
regulation of fibroblast proliferation (GO:0048145)	89	11	3.03	+	3.62	4.57E-04	1.49E-02
regulation of T cell mediated immunity (GO:0002709)	89	11	3.03	+	3.62	4.57E-04	1.48E-02
positive regulation of cytokine production involved in immune response (GO:0002720)	81	10	2.76	+	3.62	8.26E-04	2.42E-02
T cell activation involved in immune response (GO:0002286)	73	9	2.49	+	3.62	1.50E-03	3.92E-02
regulation of protein ubiquitination (GO:0031396)	211	26	7.19	+	3.61	8.86E-08	9.20E-06
organelle fission (GO:0048285)	349	43	11.90	+	3.61	5.40E-12	1.57E-09
regulation of chromosome organization (GO:0033044)	252	31	8.59	+	3.61	5.34E-09	7.82E-07
DNA geometric change (GO:0032392)	98	12	3.34	+	3.59	2.76E-04	9.74E-03
alpha-beta T cell activation (GO:0046631)	98	12	3.34	+	3.59	2.76E-04	9.72E-03
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	98	12	3.34	+	3.59	2.76E-04	9.69E-03
movement in host (GO:0044000)	139	17	4.74	+	3.59	1.62E-05	8.63E-04
ribosome biogenesis (GO:0042254)	303	37	10.33	+	3.58	2.11E-10	4.04E-08
chromosome organization (GO:0051276)	444	54	15.14	+	3.57	1.52E-14	6.27E-12
DNA conformation change (GO:0071103)	107	13	3.65	+	3.56	1.67E-04	6.38E-03
regulation of alpha-beta T cell activation (GO:0046634)	116	14	3.96	+	3.54	1.01E-04	4.20E-03
positive regulation of cell-cell adhesion (GO:0022409)	324	39	11.05	+	3.53	1.00E-10	2.12E-08
positive regulation of T cell differentiation (GO:0045582)	117	14	3.99	+	3.51	1.10E-04	4.49E-03
mitotic cell cycle (GO:0000278)	627	75	21.38	+	3.51	1.87E-19	1.40E-16
positive regulation of cell cycle process (GO:0090068)	251	30	8.56	+	3.51	1.70E-08	2.09E-06
myeloid leukocyte differentiation (GO:0002573)	134	16	4.57	+	3.50	3.73E-05	1.77E-03
ribonucleoprotein complex assembly (GO:0022618)	201	24	6.85	+	3.50	4.64E-07	3.87E-05
regulation of leukocyte cell-cell adhesion (GO:1903037)	369	44	12.58	+	3.50	8.17E-12	2.21E-09
regulation of response to endoplasmic reticulum stress (GO:1905897)	84	10	2.86	+	3.49	1.06E-03	2.99E-02
response to tumor necrosis factor (GO:0034612)	202	24	6.89	+	3.48	5.03E-07	4.15E-05
positive regulation of cell division (GO:0051781)	93	11	3.17	+	3.47	6.40E-04	1.96E-02
regulation of cell cycle G2/M phase transition (GO:1902749)	110	13	3.75	+	3.47	2.14E-04	7.87E-03
regulation of interferon-gamma production (GO:0032649)	119	14	4.06	+	3.45	1.30E-04	5.13E-03
lymphocyte activation involved in immune response (GO:0002285)	128	15	4.36	+	3.44	7.84E-05	3.36E-03
response to endoplasmic reticulum stress (GO:0034976)	222	26	7.57	+	3.43	2.19E-07	2.02E-05
post-embryonic development (GO:0009791)	94	11	3.21	+	3.43	6.94E-04	2.10E-02
